title,company,link,c_,l_,posted_date,applications,job_modality,f_p_time,job_responsibility,job_skills,job_salary,scraped_on
Data Analyst,Novicap,https://www.linkedin.com/company/novicap-fintech/life,Novicap,"Barcelona, Cataluña, España",hace 4 días,41 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data & Analyst Executive,dentsu,https://www.linkedin.com/company/dentsu/life,dentsu,"Madrid, Comunidad de Madrid, España",hace 1 semana,54 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data Governance Analyst,Revolut,https://www.linkedin.com/company/revolut/life,Revolut,España,hace 1 semana,46 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data Analyst (becario),Eurofirms Group | People first,https://www.linkedin.com/company/eurofirms-group/life,Eurofirms Group | People first,"Cassà de la Selva, Cataluña, España",hace 1 semana,83 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Prácticas,,,2024-03-10
"Data Analyst, Business Performance Analytics",Criteo,https://www.linkedin.com/company/criteo/life,Criteo,"Barcelona, Cataluña, España",hace 3 días,93 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Operations Data Analyst (They/She/He),Glovo,https://www.linkedin.com/company/glovo-app/life,Glovo,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data Analyst GCP,knowmad mood,https://www.linkedin.com/company/knowmad-mood/life,knowmad mood,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Product Data Analyst (Analytics & Insights Team),Semrush,https://www.linkedin.com/company/semrush/life,Semrush,"Cataluña, España",hace 3 días,73 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data Analyst - SQL y PySpark,excelia,https://www.linkedin.com/company/excelia/life,excelia,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Online Data Analyst - Spain,TELUS International AI Data Solutions,https://www.linkedin.com/company/telusinternationalaidatasolutions/life,TELUS International AI Data Solutions,"Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Media jornadaCoincide con tus preferencias de empleo. El tipo de empleo es Media jornada.,Sin experiencia,,,2024-03-10
Data Analyst Senior,Werfen,https://www.linkedin.com/company/werfen/life,Werfen,"Barcelona, Cataluña, España",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
BECARIO/A QUANTITATIVE RESEARCHER,MANGO,https://www.linkedin.com/company/mango/life,MANGO,"Palau-solità i Plegamans, Cataluña, España",Publicado de nuevo hace 1 semana,93 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst Omnichannel,Hays,https://www.linkedin.com/company/hays/life,Hays,"Barcelona, Cataluña, España",hace 1 semana,41 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Information Protection Analyst,Technip Energies,https://www.linkedin.com/company/technip-energies/life,Technip Energies,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,20 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst - Courier (They/She/He),Glovo,https://www.linkedin.com/company/glovo-app/life,Glovo,"Barcelona, Cataluña, España",hace 3 semanas,52 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Courier Data Analyst (They/She/He),Glovo,https://www.linkedin.com/company/glovo-app/life,Glovo,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Functional & Ind Analytics - Analyst,Accenture España,https://www.linkedin.com/company/accenture-espana/life,Accenture España,"Madrid, Comunidad de Madrid, España",hace 2 semanas,73 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Lead Data Analyst,Bradford Jacobs,https://www.linkedin.com/company/bradford-jacobs/life,Bradford Jacobs,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Digital Projects & Analytics Sr Analyst,dsm-firmenich,https://www.linkedin.com/company/dsm-firmenich/life,dsm-firmenich,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,31 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Digital Projects & Analytics Sr Analyst,dsm-firmenich,https://www.linkedin.com/company/dsm-firmenich/life,dsm-firmenich,Barcelona y alrededores,hace 4 semanas,25 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Language Data Analyst,TELUS International,https://www.linkedin.com/company/telus-international/life,TELUS International,España,Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Sin experiencia,,,2024-03-10
Principal Biostatistician,Meet,https://www.linkedin.com/company/meet/life,Meet,España,hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst - Certificado Discapacidad,SDG Group España,https://www.linkedin.com/company/sdg-group-spain/life,SDG Group España,"Barcelona, Cataluña, España",Publicado de nuevo hace 3 semanas,47 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Analista Funcional - BI (PowerCenter),Plexus Tech,https://www.linkedin.com/company/plexus-tech/life,Plexus Tech,España,hace 4 días,98 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Analytics Senior Consultant,JAKALA Iberia,https://www.linkedin.com/company/jakala-iberia/life,JAKALA Iberia,"Madrid, Comunidad de Madrid, España",hace 3 semanas,29 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Senior Business Intelligence Analyst,Thunes,https://www.linkedin.com/company/thunespayments/life,Thunes,"Barcelona, Cataluña, España",hace 3 semanas,85 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
"Data Analyst (Bangkok Based, relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,Algo de responsabilidad,,,2024-03-10
Senior Consultant Power BI Expert,SDG Group España,https://www.linkedin.com/company/sdg-group-spain/life,SDG Group España,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Analytics and Modeling Senior Analyst (All Spain),Accenture España,https://www.linkedin.com/company/accenture-espana/life,Accenture España,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,13 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Sr Digital Data Analyst,MRM Spain,https://www.linkedin.com/company/mrm-spain/life,MRM Spain,Madrid y alrededores,hace 4 días,44 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Senior Consultant Power BI Expert,SDG Group España,https://www.linkedin.com/company/sdg-group-spain/life,SDG Group España,Madrid y alrededores,Publicado de nuevo hace 2 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Data & Analytics Consultant,Incubeta,https://www.linkedin.com/company/incubeta/life,Incubeta,"Madrid, Comunidad de Madrid, España",hace 5 meses,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,26 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,,,2024-03-10
Lease Data Analyst - INGKA Centres,Ingka Centres,https://www.linkedin.com/company/ingka-centres/life,Ingka Centres,"San Sebastián de los Reyes, Comunidad de Madrid, España",hace 3 semanas,37 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Málaga, Andalucía, España",Publicado de nuevo hace 2 semanas,17 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,,,2024-03-10
Data Analyst intern,ZINIO,https://www.linkedin.com/company/zinio-llc/life,ZINIO,"Barcelona, Cataluña, España",hace 1 mes,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Senior Marketing Data Analyst - Monopoly GO!,Scopely,https://www.linkedin.com/company/scopely/life,Scopely,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Técnico/a analista de datos,365 Obrador,https://www.linkedin.com/company/panader%C3%ADas-cafeter%C3%ADas-365/life,365 Obrador,"Barcelona, Cataluña, España",hace 4 días,95 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Senior Data Analyst Team Lead,Devire,https://www.linkedin.com/company/devire/life,Devire,"Santa Cruz de Tenerife, Canarias, España",hace 3 semanas,17 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Sales Operations Data Analyst Intern,Criteo,https://www.linkedin.com/company/criteo/life,Criteo,"Barcelona, Cataluña, España",hace 3 días,62 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,PrácticasCoincide con tus preferencias de empleo. El tipo de empleo es Prácticas.,Prácticas,,,2024-03-10
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Bilbao, País Vasco / Euskadi, España",Publicado de nuevo hace 2 semanas,15 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,,,2024-03-10
Online Data Analyst,TELUS International,https://www.linkedin.com/company/telus-international/life,TELUS International,"Valladolid, Castilla y León, España",Publicado de nuevo hace 3 semanas,83 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Media jornadaCoincide con tus preferencias de empleo. El tipo de empleo es Media jornada.,Sin experiencia,,,2024-03-10
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",Publicado de nuevo hace 2 semanas,18 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,,,2024-03-10
Data Analyst Internship,Johnson & Johnson,https://www.linkedin.com/company/johnson-&-johnson/life,Johnson & Johnson,"Barcelona, Cataluña, España",Publicado de nuevo hace 6 días,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Swedish Language Data Analyst,TELUS International,https://www.linkedin.com/company/telus-international/life,TELUS International,"Barcelona, Cataluña, España",hace 2 semanas,8 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,https://www.linkedin.com/company/agoda/life,Agoda,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 días,14 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,Algo de responsabilidad,,,2024-03-10
Ops Tech Data Engineer / Analyst,HelloFresh,https://www.linkedin.com/company/hellofresh/life,HelloFresh,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,Sin experiencia,,,2024-03-10
Data Analyst | BI Specialist  | Paris or Barcelona | Major company | 50% Remote,Talent-R,https://www.linkedin.com/company/talent-r/life,Talent-R,Barcelona y alrededores,hace 2 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Beca Consultoría de Riesgos - Data Analyst (R y Python),Marsh,https://www.linkedin.com/company/marsh/life,Marsh,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,94 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,PrácticasCoincide con tus preferencias de empleo. El tipo de empleo es Prácticas.,PrácticasCoincide con tus preferencias de empleo. El tipo de empleo es Prácticas.,,,2024-03-10
Data Analyst Portfolio,Banco Sabadell,https://www.linkedin.com/company/banco-sabadell/life,Banco Sabadell,"Sant Cugat del Vallès, Cataluña, España",Publicado de nuevo hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Data and Pricing Analyst(m/f/d),DEKRA España,https://www.linkedin.com/company/dekraespana/life,DEKRA España,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Energy Data Analyst,Siemens Energy,https://www.linkedin.com/company/siemens-energy/life,Siemens Energy,Barcelona y alrededores,Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Valuations Data Analyst,CBRE España,https://www.linkedin.com/company/cbre-espa-a/life,CBRE España,"Comunidad de Madrid, España",hace 3 semanas,56 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Analytics & Tagging Specialist_Sr Analyst,Accenture España,https://www.linkedin.com/company/accenture-espana/life,Accenture España,"Madrid, Comunidad de Madrid, España",hace 2 semanas,31 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Technical Data Analyst ESG,LHH,https://www.linkedin.com/company/lee-hecht-harrison/life,LHH,"Madrid, Comunidad de Madrid, España",hace 1 semana,38 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Business Analyst – Metadata Management & Data Governance,AstraZeneca,https://www.linkedin.com/company/astrazeneca/life,AstraZeneca,"Barcelona, Cataluña, España",hace 4 días,14 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,Algo de responsabilidad,,,2024-03-10
Sales Support Data Analyst,Axalta Coating Systems,https://www.linkedin.com/company/axalta/life,Axalta Coating Systems,"Principado de Asturias, España",hace 2 semanas,18 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Amplifon GAES_ Retail Store Performance Data Analyst,Amplifon,https://www.linkedin.com/company/amplifon/life,Amplifon,"Barcelona, Cataluña, España",hace 3 semanas,56 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data and Innovation Analyst - Internal Audit,Air Products,https://www.linkedin.com/company/air-products/life,Air Products,"Cornellà de Llobregat, Cataluña, España",hace 1 semana,30 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Entry Level SAP BI Technical Support Analyst,Eursap - Europe's #1 SAP Recruitment Agency ⭐️⭐️⭐️⭐️⭐️,https://www.linkedin.com/company/eursap-ltd/life,Eursap - Europe's #1 SAP Recruitment Agency ⭐️⭐️⭐️⭐️⭐️,"Barcelona, Cataluña, España",hace 2 semanas,90 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Consumer Panel Data (CPS) Consultant&Analyst Director Iberia,NielsenIQ,https://www.linkedin.com/company/nielseniq/life,NielsenIQ,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,35 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Senior E-commerce Data Analyst – Luxury Brand,Carl Friedrik,https://www.linkedin.com/company/carl-friedrik/life,Carl Friedrik,"Barcelona, Cataluña, España",hace 4 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
SAP Analytics Consultant,Accenture España,https://www.linkedin.com/company/accenture-espana/life,Accenture España,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,Sin experiencia,,,2024-03-10
Business Insight Senior Analyst,SII Group Spain,https://www.linkedin.com/company/siigroup-spain/life,SII Group Spain,"Viladecans, Cataluña, España",hace 2 semanas,66 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Consumer Panel Data (CPS) Consultant&Analyst Director Iberia,NielsenIQ,https://www.linkedin.com/company/nielseniq/life,NielsenIQ,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,41 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
